Symbole,file6_21_07_23,file2_09_12_04,file4_10_43_15,file3_19_44_20,file5_13_17_39,file1_14_17_45,Moyenne
AUDCAD,11,12,15,12,14,14,13.0
AUDCHF,8,9,9,9,10,9,9.0
AUDJPY,14,13,13,12,14,13,13.17
AUDNZD,12,11,12,7,14,12,11.33
AUDUSD,7,7,7,6,8,6,6.83
BTCUSD,100,100,106,226,100,100,122.0
CADCHF,10,11,10,10,12,10,10.5
CADJPY,14,14,14,13,15,14,14.0
CHFJPY,22,22,23,24,27,19,22.83
EURAUD,20,21,21,21,20,22,20.83
EURCAD,15,17,18,17,19,18,17.33
EURCHF,10,6,8,9,6,6,7.5
EURGBP,8,8,10,9,9,9,8.83
EURJPY,10,15,11,14,12,15,12.83
EURNZD,25,22,25,19,27,23,23.5
EURUSD,3,3,4,3,4,2,3.17
GBPAUD,18,20,22,15,21,18,19.0
GBPCAD,18,15,15,15,12,14,14.83
GBPCHF,14,14,15,15,16,15,14.83
GBPJPY,20,21,16,17,17,20,18.5
GBPNZD,24,24,31,21,26,25,25.17
GBPUSD,7,4,4,4,4,3,4.33
GER40.cash,149,129,129,239,139,129,152.33
NZDCAD,13,14,13,12,14,15,13.5
NZDCHF,12,12,12,11,13,12,12.0
NZDJPY,13,13,13,13,13,13,13.0
NZDUSD,7,7,8,8,7,6,7.17
UK100.cash,135,75,85,205,85,75,110.0
US500.cash,55,56,55,55,56,56,55.5
USDCAD,5,6,6,6,4,5,5.33
USDCHF,6,4,5,4,6,4,4.83
USDJPY,3,8,4,4,4,8,5.17
XAUUSD,56,57,57,57,53,56,56.0
